,random_array,algorithm,time_taken
486,69,qs4,0.002319812774658203
487,69,qs5,0.002167940139770508
488,69,merge1,0.0021598339080810547
489,69,partition_sort,0.0009846687316894531
490,70,qs1,0.0016810894012451172
491,70,qs2,0.0021958351135253906
492,70,qs3,0.0022630691528320312
493,70,qs4,0.002454996109008789
494,70,qs5,0.0021381378173828125
495,70,merge1,0.0021381378173828125
496,70,partition_sort,0.0010089874267578125
497,71,qs1,0.0017898082733154297
498,71,qs2,0.0022170543670654297
499,71,qs3,0.0021610260009765625
500,71,qs4,0.002168893814086914
501,71,qs5,0.002232789993286133
502,71,merge1,0.0021398067474365234
503,71,partition_sort,0.000985860824584961
504,72,qs1,0.0018358230590820312
505,72,qs2,0.0021550655364990234
506,72,qs3,0.0021829605102539062
507,72,qs4,0.0023260116577148438
508,72,qs5,0.0022661685943603516
509,72,merge1,0.002218008041381836
510,72,partition_sort,0.0009851455688476562
511,73,qs1,0.001753091812133789
512,73,qs2,0.0021140575408935547
513,73,qs3,0.002340078353881836
514,73,qs4,0.0023741722106933594
515,73,qs5,0.0021638870239257812
516,73,merge1,0.002254962921142578
517,73,partition_sort,0.0010137557983398438
518,74,qs1,0.001837015151977539
519,74,qs2,0.0022611618041992188
520,74,qs3,0.0022428035736083984
521,74,qs4,0.0021729469299316406
522,74,qs5,0.00215911865234375
523,74,merge1,0.0022089481353759766
524,74,partition_sort,0.0010159015655517578
525,75,qs1,0.0018455982208251953
526,75,qs2,0.0022542476654052734
527,75,qs3,0.0022830963134765625
528,75,qs4,0.002385854721069336
529,75,qs5,0.002222776412963867
530,75,merge1,0.002202749252319336
531,75,partition_sort,0.0010540485382080078
532,76,qs1,0.0018579959869384766
533,76,qs2,0.0022499561309814453
534,76,qs3,0.002450227737426758
535,76,qs4,0.0026009082794189453
536,76,qs5,0.0022630691528320312
537,76,merge1,0.0022242069244384766
538,76,partition_sort,0.001007080078125
539,77,qs1,0.0018761157989501953
540,77,qs2,0.002151966094970703
541,77,qs3,0.0022089481353759766
542,77,qs4,0.0024261474609375
543,77,qs5,0.0021820068359375
544,77,merge1,0.0022749900817871094
545,77,partition_sort,0.001026153564453125
546,78,qs1,0.0018050670623779297
547,78,qs2,0.002151966094970703
548,78,qs3,0.002128124237060547
549,78,qs4,0.002646923065185547
550,78,qs5,0.0022869110107421875
551,78,merge1,0.0021393299102783203
552,78,partition_sort,0.0009930133819580078
553,79,qs1,0.0018811225891113281
554,79,qs2,0.0021419525146484375
555,79,qs3,0.0020301342010498047
556,79,qs4,0.0020689964294433594
557,79,qs5,0.002151012420654297
558,79,merge1,0.0021920204162597656
559,79,partition_sort,0.0010340213775634766
560,80,qs1,0.0019240379333496094
561,80,qs2,0.002173900604248047
562,80,qs3,0.002321004867553711
563,80,qs4,0.002428770065307617
564,80,qs5,0.002251863479614258
565,80,merge1,0.0021638870239257812
566,80,partition_sort,0.0009958744049072266
567,81,qs1,0.0018811225891113281
568,81,qs2,0.0022280216217041016
569,81,qs3,0.0022029876708984375
570,81,qs4,0.0023441314697265625
571,81,qs5,0.002171754837036133
572,81,merge1,0.002161264419555664
573,81,partition_sort,0.0009949207305908203
574,82,qs1,0.0018379688262939453
575,82,qs2,0.002276182174682617
576,82,qs3,0.002214193344116211
577,82,qs4,0.002557992935180664
578,82,qs5,0.002254962921142578
579,82,merge1,0.0021178722381591797
580,82,partition_sort,0.0009868144989013672
581,83,qs1,0.001798868179321289
582,83,qs2,0.002257108688354492
583,83,qs3,0.002318859100341797
584,83,qs4,0.002271890640258789
585,83,qs5,0.0021162033081054688
586,83,merge1,0.0021932125091552734
587,83,partition_sort,0.000986337661743164
588,84,qs1,0.0018041133880615234
589,84,qs2,0.002207040786743164
590,84,qs3,0.0022673606872558594
591,84,qs4,0.0024089813232421875
592,84,qs5,0.0021691322326660156
593,84,merge1,0.0021970272064208984
594,84,partition_sort,0.000988006591796875
595,85,qs1,0.0018208026885986328
596,85,qs2,0.002221822738647461
597,85,qs3,0.0022988319396972656
598,85,qs4,0.002196788787841797
599,85,qs5,0.002154827117919922
600,85,merge1,0.002162933349609375
601,85,partition_sort,0.0009980201721191406
602,86,qs1,0.0018308162689208984
603,86,qs2,0.0021581649780273438
604,86,qs3,0.0021970272064208984
605,86,qs4,0.0022656917572021484
606,86,qs5,0.002101898193359375
607,86,merge1,0.0022628307342529297
608,86,partition_sort,0.0010411739349365234
609,87,qs1,0.0017697811126708984
610,87,qs2,0.002216815948486328
611,87,qs3,0.0022470951080322266
612,87,qs4,0.0022339820861816406
613,87,qs5,0.002149820327758789
614,87,merge1,0.002218008041381836
615,87,partition_sort,0.0010192394256591797
616,88,qs1,0.0018410682678222656
617,88,qs2,0.002309083938598633
618,88,qs3,0.002248048782348633
619,88,qs4,0.002468109130859375
620,88,qs5,0.0021829605102539062
621,88,merge1,0.0021941661834716797
622,88,partition_sort,0.0010180473327636719
623,89,qs1,0.0018012523651123047
624,89,qs2,0.0022208690643310547
625,89,qs3,0.0022602081298828125
626,89,qs4,0.002288818359375
627,89,qs5,0.0021822452545166016
628,89,merge1,0.002190828323364258
629,89,partition_sort,0.0010151863098144531
630,90,qs1,0.0018270015716552734
631,90,qs2,0.0022330284118652344
632,90,qs3,0.0022039413452148438
633,90,qs4,0.002256155014038086
634,90,qs5,0.0021250247955322266
635,90,merge1,0.002190113067626953
636,90,partition_sort,0.0010209083557128906
637,91,qs1,0.0018739700317382812
638,91,qs2,0.002290964126586914
639,91,qs3,0.0022230148315429688
640,91,qs4,0.002360820770263672
641,91,qs5,0.0022170543670654297
642,91,merge1,0.002192258834838867
643,91,partition_sort,0.0010318756103515625
644,92,qs1,0.0018401145935058594
645,92,qs2,0.002202749252319336
646,92,qs3,0.002214193344116211
647,92,qs4,0.002524852752685547
648,92,qs5,0.002137899398803711
649,92,merge1,0.002190113067626953
650,92,partition_sort,0.0010061264038085938
651,93,qs1,0.001893758773803711
652,93,qs2,0.002285003662109375
653,93,qs3,0.0022401809692382812
654,93,qs4,0.0022902488708496094
655,93,qs5,0.002167940139770508
656,93,merge1,0.0021691322326660156
657,93,partition_sort,0.0010080337524414062
658,94,qs1,0.0018558502197265625
659,94,qs2,0.0022699832916259766
660,94,qs3,0.002104043960571289
661,94,qs4,0.0025391578674316406
662,94,qs5,0.0023088455200195312
663,94,merge1,0.0021848678588867188
664,94,partition_sort,0.001007080078125
665,95,qs1,0.001828908920288086
666,95,qs2,0.002367258071899414
667,95,qs3,0.002296924591064453
668,95,qs4,0.0024247169494628906
669,95,qs5,0.0021779537200927734
670,95,merge1,0.002174854278564453
671,95,partition_sort,0.0010030269622802734
672,96,qs1,0.0017728805541992188
673,96,qs2,0.002443075180053711
674,96,qs3,0.002185821533203125
675,96,qs4,0.0023560523986816406
676,96,qs5,0.00225067138671875
677,96,merge1,0.0021829605102539062
678,96,partition_sort,0.0010030269622802734
679,97,qs1,0.0018460750579833984
680,97,qs2,0.0021209716796875
681,97,qs3,0.0023479461669921875
682,97,qs4,0.0023560523986816406
683,97,qs5,0.0021071434020996094
684,97,merge1,0.002171039581298828
685,97,partition_sort,0.0010020732879638672
686,98,qs1,0.0017971992492675781
687,98,qs2,0.0022487640380859375
688,98,qs3,0.0022110939025878906
689,98,qs4,0.0021991729736328125
690,98,qs5,0.0021529197692871094
691,98,merge1,0.0021970272064208984
692,98,partition_sort,0.0009989738464355469
693,99,qs1,0.001851797103881836
694,99,qs2,0.0021190643310546875
695,99,qs3,0.0022928714752197266
696,99,qs4,0.0022051334381103516
697,99,qs5,0.002235889434814453
698,99,merge1,0.0021979808807373047
699,99,partition_sort,0.0010051727294921875
700,100,qs1,0.0019519329071044922
701,100,qs2,0.0023088455200195312
702,100,qs3,0.002251863479614258
703,100,qs4,0.002240896224975586
704,100,qs5,0.002154111862182617
705,100,merge1,0.002203702926635742
706,100,partition_sort,0.001039743423461914
707,101,qs1,0.00185394287109375
708,101,qs2,0.002286195755004883
709,101,qs3,0.0022127628326416016
710,101,qs4,0.0022988319396972656
711,101,qs5,0.0021638870239257812
712,101,merge1,0.0021619796752929688
713,101,partition_sort,0.0010340213775634766
714,102,qs1,0.0018858909606933594
715,102,qs2,0.002267122268676758
716,102,qs3,0.002176046371459961
717,102,qs4,0.0022878646850585938
718,102,qs5,0.002129793167114258
719,102,merge1,0.0022001266479492188
720,102,partition_sort,0.0010139942169189453
721,103,qs1,0.00186920166015625
722,103,qs2,0.002140045166015625
723,103,qs3,0.002168893814086914
724,103,qs4,0.0021507740020751953
725,103,qs5,0.002192258834838867
726,103,merge1,0.0021882057189941406
727,103,partition_sort,0.0010259151458740234
728,104,qs1,0.0018320083618164062
729,104,qs2,0.0021619796752929688
730,104,qs3,0.002157926559448242
731,104,qs4,0.0021970272064208984
732,104,qs5,0.0021860599517822266
733,104,merge1,0.0021958351135253906
734,104,partition_sort,0.001009225845336914
735,105,qs1,0.0018172264099121094
736,105,qs2,0.0020580291748046875
737,105,qs3,0.0021889209747314453
738,105,qs4,0.0022420883178710938
739,105,qs5,0.002197742462158203
740,105,merge1,0.0021719932556152344
741,105,partition_sort,0.001013040542602539
742,106,qs1,0.0018639564514160156
743,106,qs2,0.0022389888763427734
744,106,qs3,0.002096891403198242
745,106,qs4,0.0023040771484375
746,106,qs5,0.002251863479614258
747,106,merge1,0.002187013626098633
748,106,partition_sort,0.001007080078125
749,107,qs1,0.0018270015716552734
750,107,qs2,0.002290964126586914
751,107,qs3,0.002321004867553711
752,107,qs4,0.002290010452270508
